text,label,category,text_length,word_count,exclamation_count,caps_ratio
Scientists at MIT have developed a new renewable energy technology that could revolutionize solar power generation with 40% improved efficiency.,0,Politics/Economy,144,20,0,0.027777777777777776
The Federal Reserve announced a quarter-point interest rate increase following the latest economic data showing steady inflation control.,0,Politics/Economy,137,18,0,0.021897810218978103
"Local authorities report successful completion of the new public transportation project, connecting three major districts in the city.",0,Politics/Economy,134,18,0,0.007462686567164179
Climate researchers publish findings in Nature journal showing accelerated ice melting in Antarctic regions over the past decade.,0,Politics/Economy,129,18,0,0.023255813953488372
"The Supreme Court heard arguments today regarding privacy rights in digital communications, with a decision expected next quarter.",0,Politics/Economy,130,18,0,0.023076923076923078
Medical researchers at Johns Hopkins University announce breakthrough in early detection methods for pancreatic cancer through blood tests.,0,Politics/Economy,139,18,0,0.02877697841726619
International trade negotiations between allied nations continue as officials work toward mutually beneficial economic agreements.,0,Politics/Economy,130,15,0,0.007692307692307693
NASA confirms successful deployment of the James Webb Space Telescope's latest observations revealing new exoplanet discoveries.,0,Politics/Economy,128,16,0,0.0625
Local school district implements new STEM education program with funding from state government and private technology partnerships.,0,Politics/Economy,131,17,0,0.03816793893129771
Economic indicators suggest moderate growth in manufacturing sector as supply chain issues show signs of resolution.,0,Politics/Economy,116,16,0,0.008620689655172414
University researchers publish peer-reviewed study on sustainable agriculture practices reducing water consumption by 30%.,0,Politics/Economy,122,14,0,0.00819672131147541
City council approves budget allocation for infrastructure improvements including road repairs and water system upgrades.,0,Politics/Economy,121,15,0,0.008264462809917356
Health officials provide updated vaccination guidelines based on latest clinical trial data and epidemiological studies.,0,Politics/Economy,120,15,0,0.008333333333333333
Technology companies announce collaborative effort to improve cybersecurity standards across critical infrastructure sectors.,0,Politics/Economy,125,13,0,0.008
Environmental protection agency releases annual report showing measurable improvements in air quality in urban areas.,0,Politics/Economy,117,15,0,0.008547008547008548
Federal investigators conclude comprehensive review of financial regulations affecting small business lending practices.,0,Politics/Economy,120,13,0,0.008333333333333333
Archaeological team uncovers significant historical artifacts providing new insights into ancient Mediterranean civilizations.,0,Politics/Economy,126,13,0,0.015873015873015872
Public health authorities confirm seasonal flu vaccination campaign reaches target coverage rates across vulnerable populations.,0,Politics/Economy,128,15,0,0.0078125
Transportation department announces completion of highway safety improvements reducing traffic accidents by 25% in pilot areas.,0,Politics/Economy,127,16,0,0.007874015748031496
Central bank officials indicate gradual approach to monetary policy adjustments based on employment and inflation metrics.,0,Politics/Economy,122,16,0,0.00819672131147541
Peer-reviewed research published in Science journal demonstrates new carbon capture technology efficiency improvements.,0,Science/Research,119,13,0,0.01680672268907563
Clinical trial results show promising outcomes for new Alzheimer's treatment in phase two testing.,0,Science/Research,98,14,0,0.02040816326530612
Geological survey reveals previously unknown mineral deposits with potential technological applications in electronics.,0,Science/Research,119,13,0,0.008403361344537815
Marine biologists document recovery of coral reef ecosystems following conservation intervention programs.,0,Science/Research,106,12,0,0.009433962264150943
Astrophysicists confirm detection of gravitational waves from neutron star collision using advanced instrumentation.,0,Science/Research,116,13,0,0.008620689655172414
SHOCKING! Secret government experiment turns ordinary people into superhuman beings! Scientists don't want you to know this!,1,Sensational/Clickbait,124,17,3,0.08064516129032258
BREAKING: Billionaire reveals one simple trick that made him rich overnight! Banks hate this method!,1,Sensational/Clickbait,100,15,2,0.1
EXCLUSIVE: Aliens have been living among us for decades! Government finally admits the truth!,1,Sensational/Clickbait,93,14,2,0.11827956989247312
